time,P,Temp,Voltage
0.258,0,19.7805,0
0.411,-0.09,19.7805,0
0.566,-0.05,19.6279,0
0.719,-0.01,19.7805,0
0.874,-0.04,19.7805,0
1.028,-0.02,19.6279,0
1.181,-0.05,19.7805,0
1.336,0.04,19.7805,0
1.489,-0.06,19.6279,0
1.644,-0.01,19.7805,0
1.798,-0.04,19.7805,0
1.951,0,19.7805,0
2.106,-0.02,19.7805,0
2.259,-0.07,19.7805,0
2.414,-0.02,19.7805,0
2.568,-0.05,19.7805,0
2.721,-0.01,19.6279,0
2.876,-0.03,19.7805,0
3.03,0.02,19.6279,0
3.184,0.03,19.7805,0
3.338,-0.05,19.6279,0
3.492,0.02,19.6279,0
3.646,-0.05,19.7805,0
3.8,-0.01,19.7805,0
3.954,0.01,19.7805,0
4.108,-0.08,19.7805,0
4.262,-0.02,19.7805,0
4.416,-0.06,19.6279,0
4.57,-0.05,19.7805,0
4.724,-0.02,19.6279,0
4.878,0.08,19.7805,0
5.032,-0.02,19.6279,0
5.186,0.01,19.7805,0
5.34,0.03,19.6279,0
5.494,0.02,19.6279,0
5.648,-0.04,19.7805,0
5.803,-0.01,19.7805,0
5.956,-0.04,19.6279,0
6.111,-0.17,19.7805,0
6.264,0.02,19.6279,0
6.418,-0.06,19.7805,0
6.573,-0.08,19.7805,0
6.726,0,19.7805,0
6.881,0.02,19.7805,0
7.034,-0.07,19.7805,0
7.188,-0.04,19.7805,0
7.343,0.06,19.6279,0
7.496,-0,19.7805,0
7.651,0,19.6279,0
7.804,0.05,19.6279,0
7.958,-0.05,19.6279,0
8.113,-0.02,19.7805,0
8.266,0.02,19.7805,0
8.421,-0.08,19.6279,0
8.574,-0.06,19.7805,0
8.728,-0.04,19.6279,0
8.883,-0.07,19.6279,0
9.036,0.01,19.6279,0
9.191,-0.03,19.6279,0
9.345,-0.12,19.7805,0
9.499,0.01,19.7805,0
9.653,0.03,19.6279,0
9.806,-0.07,19.7805,0
9.961,-0.07,19.7805,0
10.115,-0.01,19.7805,0
10.269,-0.01,19.6279,0
10.423,-0.05,19.6279,0
10.577,-0.03,19.7805,0
10.731,-0.03,19.7805,0
10.885,-0.09,19.7805,0
11.039,-0.03,19.7805,0
11.193,0.04,19.7805,0
11.347,-0.08,19.7805,0
11.501,-0.05,19.6279,0
11.656,0.03,19.6279,0
11.809,-0.06,19.7805,0
11.964,-0.03,19.7805,0
12.118,-0.05,19.6279,0
12.272,-0.03,19.7805,0
12.426,-0.09,19.7805,0
12.58,-0.07,19.6279,0
12.734,-0.01,19.7805,0
12.888,-0.09,19.7805,0
13.042,-0.03,19.7805,0
13.196,-0,19.7805,0
13.35,-0.04,19.7805,0
13.504,-0.02,19.7805,0
13.659,-0.05,19.7805,0
13.812,-0.01,19.7805,0
13.967,-0.06,19.7805,0
14.12,-0.06,19.7805,0
14.275,-0.05,19.7805,0
14.429,-0.09,19.6279,0
14.582,0.01,19.6279,0
14.737,0,19.7805,0
14.891,-0.09,19.7805,0
15.045,-0.07,19.7805,0
15.199,-0.03,19.6279,0
15.353,-0.07,19.6279,0
15.507,0.05,19.6279,0
15.662,0.05,19.6279,0
15.815,-0.05,19.7805,0
15.97,0.03,19.7805,0
16.123,-0.02,19.7805,0
16.277,0.05,19.6279,0
16.432,-0.1,19.7805,0
16.585,-0.03,19.7805,0
16.74,-0.05,19.6279,0
16.893,-0.01,19.6279,0
17.048,-0.06,19.7805,0
17.202,-0.03,19.7805,0
17.356,-0.04,19.7805,0
17.51,0,19.6279,0
17.665,-0.14,19.7805,0
17.818,-0.09,19.7805,0
17.972,-0.03,19.7805,0
18.126,-0.09,19.6279,0
18.28,0.02,19.7805,0
18.435,2.93,19.7805,0
18.588,7.61,19.7805,0
18.743,13.34,19.7805,0
18.896,19.21,19.6279,0
19.051,23.96,19.7805,0
19.205,28.82,19.7805,0
19.359,31.92,19.6279,0
19.513,36.08,19.7805,0
19.667,39.4,19.7805,0
19.821,42.54,19.7805,0
19.976,43.77,19.6279,0
20.129,44.58,19.6279,0
20.284,45.45,19.6279,0
20.438,47.75,19.7805,0
20.592,47.56,19.6279,0
20.746,49.3,19.6279,0
20.9,48.75,19.6279,0
21.054,49.75,19.6279,0
21.209,48,19.6279,0
21.362,49,19.6279,0
21.517,50.78,19.6279,0
21.67,50.4,19.6279,0
21.825,51.79,19.6279,0
21.979,50.57,19.6279,0
22.133,50.2,19.6279,0
22.287,49.54,19.6279,0
22.441,49.87,19.4747,0
22.595,50.93,19.6279,0
22.75,51.08,19.4747,0
22.903,50.09,19.4747,0
23.058,50.7,19.6279,0
23.212,51.66,19.6279,0
23.366,50.14,19.4747,0
23.52,50.2,19.4747,0
23.674,49.47,19.6279,0
23.828,50.99,19.4747,0
23.983,50.79,19.4747,0
24.136,50.51,19.4747,0
24.291,49.45,19.4747,0
24.444,49.92,19.4747,0
24.599,50.41,19.4747,0
24.753,51.72,19.4747,0
24.907,50.07,19.4747,0
25.061,51,19.4747,0
25.216,50.87,19.4747,0
25.369,50.07,19.4747,0
25.524,50.47,19.4747,0
25.677,51.41,19.4747,0
25.832,51.58,19.4747,0
25.986,50.79,19.3209,0
26.14,50.02,19.3209,0
26.294,50.47,19.4747,0
26.448,51.14,19.4747,0
26.602,50.93,19.4747,0
26.757,50.64,19.4747,0
26.91,50.59,19.3209,0
27.065,50.9,19.3209,0
27.218,51.16,19.3209,0
27.373,51,19.4747,0
27.527,50.4,19.4747,0
27.681,51.25,19.3209,0
27.835,50.76,19.3209,0
27.99,50.57,19.3209,0
28.143,51.42,19.3209,0
28.298,51.58,19.4747,0
28.451,51.42,19.3209,0
28.606,49.73,19.4747,0
28.76,49.96,19.3209,0
28.914,49.92,19.3209,0
29.068,50.93,19.3209,0
29.222,50.92,19.3209,0
29.377,51.31,19.3209,0
29.531,52.67,19.3209,0
29.684,51.43,19.3209,0
29.839,49.79,19.4747,0
29.992,50.9,19.3209,0
30.147,51.45,19.3209,0
30.301,50.78,19.3209,0
30.455,51.75,19.3209,0
30.609,50.29,19.3209,0
30.764,51.01,19.1665,0
30.917,51.3,19.3209,0
31.072,51.17,19.3209,0
31.225,50.22,19.3209,0
31.38,50.84,19.3209,0
31.534,51.23,19.3209,0
31.688,51.17,19.3209,0
31.842,50.84,19.4747,0
31.996,50.04,19.3209,0
32.15,49.83,19.3209,0
32.305,50.33,19.3209,0
32.458,50.03,19.1665,0
32.613,50.99,19.3209,0
32.766,50.26,19.3209,0
32.921,51.95,19.3209,0
33.075,52.01,19.3209,0
33.229,49.86,19.3209,0
33.383,50.5,19.3209,0
33.538,50.07,19.3209,0
33.691,51.51,19.3209,0
